Synthesized_day,Sample No.,Heat_temperature,Heat_minute,DMF_ratio,Storage_day,Storage_RH,PbI2(001),MAPbI3(110),PbI2_ratio
2023/9/19,10,100,5,1,6,50,0,872.81,0
2023/9/19,10,100,5,1,9,50,41.25,865.81,0.047643247
2023/9/19,10,100,5,1,17,50,103.8,899.76,0.115364097
2023/9/19,11,100,10,1,6,50,0,943.87,0
2023/9/19,11,100,10,1,9,50,0,927.99,0
2023/9/19,11,100,10,1,17,50,73.25,950.68,0.077050111
2023/9/19,12,100,20,1,6,50,0,734.86,0
2023/9/19,12,100,20,1,9,50,39,721.33,0.054066793
2023/9/19,12,100,20,1,17,50,369.64,477.54,0.774050341
2023/9/19,13,100,40,1,6,50,29,1278.11,0.022689753
2023/9/19,13,100,40,1,9,50,70.21,1216.84,0.057698629
2023/9/19,13,100,40,1,17,50,1264.94,994.38,1.272089141
2024/1/26,22,60,0,1,0,15,0,1527.73,0
2024/1/26,22,60,0,1,7,15,0,2091.43,0
2024/1/26,22,60,0,1,13,15,0,1566.37,0
2024/1/26,23,100,1,1,0,15,0,1527.01,0
2024/1/26,23,100,1,1,7,15,0,2102.59,0
2024/1/26,23,100,1,1,13,15,0,1716.14,0
2024/1/26,24,100,5,1,0,15,0,1363.25,0
2024/1/26,24,100,5,1,7,15,0,1687.17,0
2024/1/26,24,100,5,1,13,15,0,1220.52,0
2024/1/26,25,100,10,1,0,15,0,1320.03,0
2024/1/26,25,100,10,1,7,15,0,1674.16,0
2024/1/26,25,100,10,1,13,15,0,1271.61,0
2024/1/26,26,100,20,1,0,15,0,1037.12,0
2024/1/26,26,100,20,1,7,15,21.08,1337.46,0.015761219
2024/1/26,26,100,20,1,13,15,62.36,950.06,0.06563796
2024/1/26,27,100,40,1,0,15,0,968.16,0
2024/1/26,27,100,40,1,7,15,52.51,1126.53,0.046612163
2024/1/26,27,100,40,1,13,15,107.51,895.35,0.120075948
2024/2/28,28,60,0,1,0,15,0,988.12,0
2024/2/28,28,60,0,1,6,15,46.37,1840.21,0.025198211
2024/2/28,28,60,0,1,13,15,76.94,1797.68,0.042799608
2024/2/28,29,60,15,1,0,15,0,1834.46,0
2024/2/28,29,60,15,1,6,15,0,2046.8,0
2024/2/28,29,60,15,1,13,15,33.05,1909.32,0.017309828
2024/2/28,31,100,15,1,0,15,0,1234.19,0
2024/2/28,31,100,15,1,6,15,15.27,1350.44,0.011307426
2024/2/28,31,100,15,1,13,15,19.39,1380.63,0.014044313
2024/2/28,32,120,15,1,0,15,48.64,1241.68,0.039172734
2024/2/28,32,120,15,1,6,15,118.31,1402.14,0.084378165
2024/2/28,32,120,15,1,13,15,81.57,1418.5,0.057504406
2024/2/28,33,140,15,1,0,15,88.56,1198.04,0.073920737
2024/2/28,33,140,15,1,6,15,187.32,1391.18,0.134648284
2024/2/28,33,140,15,1,13,15,174.62,1393.01,0.125354448
2024/4/25,34,60,15,1,0,30,0,230.89,0
2024/4/25,34,60,15,1,7,30,61.57,1303.7,0.047227123
2024/4/25,34,60,15,1,13,30,172.67,1185.97,0.145593902
2024/4/25,34,60,15,1,20,30,221.1,1036.33,0.21334903
2024/4/25,35,80,15,1,0,30,0,302.28,0
2024/4/25,35,80,15,1,7,30,115.89,1489.69,0.077794709
2024/4/25,35,80,15,1,13,30,223.08,1436.23,0.155323312
2024/4/25,35,80,15,1,20,30,395.21,1281.28,0.308449363
2024/4/25,36,100,15,1,0,30,0,309.07,0
2024/4/25,36,100,15,1,7,30,100.3,1324.08,0.07575071
2024/4/25,36,100,15,1,13,30,184.25,1298.97,0.141843153
2024/4/25,36,100,15,1,20,30,306.58,1128.48,0.271675174
2024/4/25,37,120,15,1,0,30,0.89,405.13,0.002196826
2024/4/25,37,120,15,1,7,30,108.76,1786.11,0.060892106
2024/4/25,37,120,15,1,13,30,229.4,1771.43,0.129499896
2024/4/25,37,120,15,1,20,30,369.45,1604.48,0.230261518
2024/4/25,38,140,15,1,0,30,45.11,177.01,0.254844359
2024/4/25,38,140,15,1,7,30,191.64,1072.23,0.17873031
2024/4/25,38,140,15,1,13,30,261.3,1144.68,0.228273404
2024/4/25,38,140,15,1,20,30,327.59,1104.47,0.296603801
2024/6/19,57,100,10,1,0,40,0,1240.82,0
2024/6/19,57,100,10,1,8,40,6.89,1154.11,0.005969968
2024/6/19,57,100,10,1,14,40,77.67,1025.95,0.075705444
2024/6/19,58,100,10,0,0,40,164.85,1100.03,0.149859549
2024/6/19,58,100,10,0,8,40,305.64,800.84,0.381649268
2024/6/19,58,100,10,0,14,40,462.22,659.03,0.701364126
2024/6/19,59,100,10,0,0,40,66.23,957.58,0.069163934
2024/6/19,59,100,10,0,8,40,293.84,757.66,0.387825674
2024/6/19,59,100,10,0,14,40,410.72,588.83,0.697518808
2024/6/19,60,100,10,0,0,40,0,1415.88,0
2024/6/19,60,100,10,0,8,40,99.51,1512.39,0.065796521
2024/6/19,60,100,10,0,14,40,195.37,1380.27,0.14154477
2024/6/19,61,100,10,1,0,40,0,1385.08,0
2024/6/19,61,100,10,1,8,40,62.42,1403.44,0.044476429
2024/6/19,61,100,10,1,14,40,155.48,1290.05,0.12052246
2024/6/19,62,100,10,0,0,40,36.53,1259.41,0.029005646
2024/6/19,62,100,10,0,8,40,206.92,1108.2,0.186717199
2024/6/19,62,100,10,0,14,40,309.39,969.55,0.319106802
2024/6/19,63,100,10,0,0,40,0,2540.73,0
2024/6/19,63,100,10,0,8,40,79.62,2257.35,0.035271447
2024/6/19,63,100,10,0,14,40,133.26,1979.35,0.067325132
2024/6/19,64,100,10,0,0,40,0,1257.68,0
2024/6/19,64,100,10,0,8,40,62.28,1217.34,0.051160727
2024/6/19,64,100,10,0,14,40,105.02,1170.24,0.089742275
2024/6/19,65,100,10,0,0,40,0,1516.47,0
2024/6/19,65,100,10,0,8,40,463.57,1196.52,0.387431886
2024/6/19,65,100,10,0,14,40,603.59,856.83,0.704445456
2024/9/13,66,100,10,0,0,45,0,1165.75,0
2024/9/13,66,100,10,0,7,45,10.68,920.2,0.011606173
2024/9/13,66,100,10,0,14,45,30.16,620.65,0.048594216
2024/9/13,67,100,10,0,0,45,0,1109.48,0
2024/9/13,67,100,10,0,7,45,29.97,1229,0.024385679
2024/9/13,67,100,10,0,14,45,28.28,276.63,0.102230416
2024/9/13,68,100,10,0,0,45,0,1292.78,0
2024/9/13,68,100,10,0,7,45,33.25,1277.75,0.026022305
2024/9/13,68,100,10,0,14,45,13.04,518.5,0.02514947
2024/9/13,69,100,10,0,0,45,0,1282.26,0
2024/9/13,69,100,10,0,7,45,0,1482.71,0
2024/9/13,69,100,10,0,14,45,21.84,489.52,0.044615133
2024/9/13,70,100,10,0,0,45,0,1108.36,0
2024/9/13,70,100,10,0,7,45,2.14,1179.43,0.001814436
2024/9/13,70,100,10,0,14,45,0,222.73,0
2024/10/10,71,100,1,0,0,45,0,1430.87,0
2024/10/10,71,100,1,0,6,45,0,1403.31,0
2024/10/10,71,100,1,0,14,45,0,1062.06,0
2024/10/10,72,100,5,0,0,45,0,1487.78,0
2024/10/10,72,100,5,0,6,45,0,1491.2,0
2024/10/10,72,100,5,0,14,45,0,1094.99,0
2024/10/10,73,100,10,0,0,45,0,1792.15,0
2024/10/10,73,100,10,0,6,45,0,1721.49,0
2024/10/10,73,100,10,0,14,45,0,1342.32,0
2024/10/10,74,100,20,0,0,45,1.82,1563.18,0.001164293
2024/10/10,74,100,20,0,6,45,6.47,1626.4,0.003978111
2024/10/10,74,100,20,0,14,45,42.9,1137.5,0.037714286
2024/10/10,75,100,40,0,0,45,32.75,2461.49,0.013304949
2024/10/10,75,100,40,0,6,45,22.12,1963.89,0.01126336
2024/10/10,75,100,40,0,14,45,58.5,1161.18,0.050379786
2024/10/31,76,60,0,0,0,45,0,1436.64,0
2024/10/31,76,60,0,0,6,45,0,1444,0
2024/10/31,76,60,0,0,14,45,0,1249.68,0
2024/10/31,77,60,15,0,0,45,0,1458,0
2024/10/31,77,60,15,0,6,45,0,1432.38,0
2024/10/31,77,60,15,0,14,45,0,1104.27,0
2024/10/31,78,80,15,0,0,45,0,2349.2,0
2024/10/31,78,80,15,0,6,45,0,2233.65,0
2024/10/31,78,80,15,0,14,45,0,1834.51,0
2024/10/31,79,100,15,0,0,45,0,2534.04,0
2024/10/31,79,100,15,0,6,45,0,2089.78,0
2024/10/31,79,100,15,0,14,45,0,2458.71,0
2024/10/31,80,120,15,0,0,45,95.16,2494.04,0.038154961
2024/10/31,80,120,15,0,6,45,85.67,2967.48,0.028869613
2024/10/31,80,120,15,0,14,45,97.77,2220.57,0.044029236
2024/10/31,81,140,15,0,0,45,52.48,1436.55,0.036531969
2024/10/31,81,140,15,0,6,45,96.02,1880.05,0.05107311
2024/10/31,81,140,15,0,14,45,240.62,1505.26,0.159852783
