Sample No.,slope_per_day,intercept,r_squared,corr_slope_per_day,n_points,Storage_day_min,Storage_day_max,Heat_temperature,Heat_minute,DMF_ratio,Storage_RH,Storage_day_list
10,0.010097088,-0.05340238,0.976845182,0.004038835,3,6,17,100,5,1,50,"6,9,17"
11,0.00751786,-0.054603402,0.930412371,0.003007144,3,6,17,100,10,1,50,"6,9,17"
12,0.074413813,-0.517672252,0.958864045,0.029765525,3,6,17,100,20,1,50,"6,9,17"
13,0.121529796,-0.845416209,0.942388472,0.048611918,3,6,17,100,40,1,50,"6,9,17"
22,0,0,1,0,3,0,13,60,0,1,15,"0,7,13"
23,0,0,1,0,3,0,13,100,1,1,15,"0,7,13"
24,0,0,1,0,3,0,13,100,5,1,15,"0,7,13"
25,0,0,1,0,3,0,13,100,10,1,15,"0,7,13"
26,0.004943728,-0.005968196,0.891703081,0.006591637,3,0,13,100,20,1,15,"0,7,13"
27,0.009204844,-0.006044475,0.965312655,0.012273126,3,0,13,100,40,1,15,"0,7,13"
28,0.003270842,0.001950605,0.978689697,0.004361123,3,0,13,60,0,1,15,"0,6,13"
29,0.001362979,-0.002862255,0.787401575,0.001817305,3,0,13,60,15,1,15,"0,6,13"
31,0.001061334,0.001728798,0.860254913,0.001415112,3,0,13,100,15,1,15,"0,6,13"
32,0.001265465,0.052337159,0.131136236,0.001687286,3,0,13,120,15,1,15,"0,6,13"
33,0.003810814,0.08717267,0.574590811,0.005081085,3,0,13,140,15,1,15,"0,6,13"
34,0.011140324,-0.009860726,0.976645266,0.007426883,4,0,20,60,15,1,30,"0,7,13,20"
35,0.015215961,-0.016767761,0.970727716,0.010143974,4,0,20,80,15,1,30,"0,7,13,20"
36,0.013371693,-0.011399671,0.978901307,0.008914462,4,0,20,100,15,1,30,"0,7,13,20"
37,0.011405827,-0.008345684,0.984639941,0.007603885,4,0,20,120,15,1,30,"0,7,13,20"
38,0.002597356,0.213639404,0.201044117,0.001731571,4,0,20,140,15,1,30,"0,7,13,20"
57,0.00515557,-0.010582378,0.740137194,0.002577785,3,0,14,100,10,1,40,"0,8,14"
58,0.03882997,0.126204538,0.970001243,0.019414985,3,0,14,100,10,0,40,"0,8,14"
59,0.04460953,0.057699583,0.994526329,0.022304765,3,0,14,100,10,0,40,"0,8,14"
60,0.010008407,-0.00428122,0.984980631,0.005004203,3,0,14,100,10,0,40,"0,8,14"
61,0.008443926,-0.006922493,0.946961949,0.004221963,3,0,14,100,10,1,40,"0,8,14"
62,0.020667048,0.026718197,0.998980184,0.010333524,3,0,14,100,10,0,40,"0,8,14"
63,0.004787316,-0.000908124,0.997010319,0.002393658,3,0,14,100,10,0,40,"0,8,14"
64,0.006409348,-3.42E-05,0.999997625,0.003204674,3,0,14,100,10,0,40,"0,8,14"
65,0.050215449,-0.004287512,0.999392857,0.025107724,3,0,14,100,10,0,40,"0,8,14"
66,0.003471015,-0.004230312,0.916640367,0.001542674,3,0,14,100,10,0,45,"0,7,14"
67,0.007302173,-0.008909843,0.916463502,0.00324541,3,0,14,100,10,0,45,"0,7,14"
68,0.001796391,0.004482523,0.72400084,0.000798396,3,0,14,100,10,0,45,"0,7,14"
69,0.003186795,-0.007435856,0.75,0.001416353,3,0,14,100,10,0,45,"0,7,14"
70,8.47E-21,0.000604812,0,3.76276E-21,3,0,14,100,10,0,45,"0,7,14"
71,0,0,1,0,3,0,14,100,1,0,45,"0,6,14"
72,0,0,1,0,3,0,14,100,5,0,45,"0,6,14"
73,0,0,1,0,3,0,14,100,10,0,45,"0,6,14"
74,0.002697541,-0.003698045,0.867830752,0.001198907,3,0,14,100,20,0,45,"0,6,14"
75,0.002769357,0.00652032,0.780431333,0.001230825,3,0,14,100,40,0,45,"0,6,14"
76,0,0,1,0,3,0,14,60,0,0,45,"0,6,14"
77,0,0,1,0,3,0,14,60,15,0,45,"0,6,14"
78,0,0,1,0,3,0,14,80,15,0,45,"0,6,14"
79,0,0,1,0,3,0,14,100,15,0,45,"0,6,14"
80,0.00049934,0.033689001,0.210546851,0.000221929,3,0,14,120,15,0,45,"0,6,14"
81,0.009067485,0.022036053,0.893016147,0.004029993,3,0,14,140,15,0,45,"0,6,14"
